term,week,day of week,class,time spent (min)
sp24,6,Sunday,MATH 257,75.0
sp24,6,Sunday,GEOL 107,15.0
sp24,6,Sunday,ASTR 210,150.0
sp24,6,Sunday,STAT 207,0.0
sp24,7,Monday,ASTR 210,105.0
sp24,7,Monday,MATH 257,60.0
sp24,7,Monday,GEOL 107,15.0
sp24,7,Monday,STAT 207,0.0
sp24,7,Tuesday,GEOL 107,15.0
sp24,7,Tuesday,ASTR 210,0.0
sp24,7,Tuesday,STAT 207,60.0
sp24,7,Tuesday,MATH 257,60.0
sp24,7,Wednesday,ASTR 210,60.0
sp24,7,Wednesday,STAT 207,0.0
sp24,7,Wednesday,GEOL 107,0.0
sp24,7,Wednesday,MATH 257,0.0
sp24,7,Thursday,MATH 257,0.0
sp24,7,Thursday,STAT 207,15.0
sp24,7,Thursday,GEOL 107,0.0
sp24,7,Thursday,ASTR 210,180.0
sp24,7,Friday,MATH 257,60.0
sp24,7,Friday,ASTR 210,60.0
sp24,7,Friday,GEOL 107,0.0
sp24,7,Friday,STAT 207,0.0
sp24,7,Saturday,STAT 207,0.0
sp24,7,Saturday,ASTR 210,110.0
sp24,7,Saturday,GEOL 107,0.0
sp24,7,Saturday,MATH 257,60.0
sp24,7,Sunday,GEOL 107,0.0
sp24,7,Sunday,ASTR 210,45.0
sp24,7,Sunday,STAT 207,0.0
sp24,7,Sunday,MATH 257,0.0
sp24,8,Monday,ASTR 210,170.0
sp24,8,Monday,GEOL 107,0.0
sp24,8,Monday,STAT 207,30.0
sp24,8,Monday,MATH 257,0.0
sp24,8,Tuesday,GEOL 107,55.0
sp24,8,Tuesday,MATH 257,75.0
sp24,8,Tuesday,STAT 207,25.0
sp24,8,Tuesday,ASTR 210,70.0
sp24,8,Wednesday,STAT 207,0.0
sp24,8,Wednesday,MATH 257,0.0
sp24,8,Wednesday,GEOL 107,0.0
sp24,8,Wednesday,ASTR 210,0.0
sp24,8,Thursday,MATH 257,0.0
sp24,8,Thursday,GEOL 107,0.0
sp24,8,Thursday,ASTR 210,0.0
sp24,8,Thursday,STAT 207,0.0
sp24,8,Friday,MATH 257,0.0
sp24,8,Friday,GEOL 107,0.0
sp24,8,Friday,ASTR 210,0.0
sp24,8,Friday,STAT 207,0.0
sp24,8,Saturday,GEOL 107,0.0
sp24,8,Saturday,STAT 207,0.0
sp24,8,Saturday,ASTR 210,0.0
sp24,8,Saturday,MATH 257,0.0
sp24,8,Sunday,STAT 207,0.0
sp24,8,Sunday,GEOL 107,0.0
sp24,8,Sunday,ASTR 210,0.0
sp24,8,Sunday,MATH 257,0.0
sp24,9,Monday,STAT 207,0.0
sp24,9,Monday,GEOL 107,0.0
